periods,2001 1->2,2002 1->3,2003 2->4,2004 3->4
1.0,-181.285,211.285,568.715,245.319
2.0,-213.335,213.335,563.945,213.335
3.0,-208.291,208.291,550.612,208.291
4.0,-203.484,203.484,537.905,203.484
5.0,-200.279,200.279,529.435,200.279
6.0,-211.495,211.495,559.083,211.495
7.0,-212.622,212.622,606.397,257.584
8.0,-150.413,193.844,596.877,313.806
9.0,-74.602,193.033,610.254,387.995
10.0,1.21,192.222,623.631,462.183
11.0,20.318,159.682,622.035,504.643
12.0,-82.732,187.732,680.661,457.693
13.0,-172.963,202.963,705.403,397.924
14.0,-214.106,214.106,685.894,335.706
15.0,-226.746,226.746,673.254,301.644
16.0,-223.586,223.586,676.414,310.159
17.0,-205.779,205.779,673.147,336.777
18.0,-142.785,217.785,720.408,423.783
19.0,-94.212,244.212,805.788,525.21
20.0,-111.056,197.732,788.944,536.217
21.0,-98.952,248.952,801.048,512.437
22.0,-141.437,216.437,699.573,404.922
23.0,-204.75,204.75,653.159,318.236
24.0,-209.102,209.102,590.707,247.588
